# Tlab    np 1S0    np 3S1     np E1    np 1P1    np 3P1    np 3P0    np 3P2     np E2    np 1D2    np 3D2    np 3D1    np 3D3     np E1    np 1F3    np 3F3    np 3F2    np 3F4     np E2
 30.00   52.1838  -62.3554    3.0799   -6.8860   -6.4865   25.3736    0.9035   -1.0241    0.6829    4.7229   -3.2239   -0.1234    3.0799   -0.5662   -0.3184    0.1426    0.0238   -1.0241
 31.00   52.1826  -63.1713    3.1184   -7.0126   -6.6570   26.1828    0.9419   -1.0650    0.7068    4.9330   -3.3782   -0.1307    3.1184   -0.5955   -0.3366    0.1511    0.0258   -1.0650
 32.00   52.1774  -63.9671    3.1545   -7.1351   -6.8248   26.9768    0.9802   -1.1057    0.7303    5.1431   -3.5331   -0.1381    3.1545   -0.6248   -0.3551    0.1598    0.0277   -1.1057
 33.00   52.1687  -64.7439    3.1882   -7.2537   -6.9902   27.7553    1.0184   -1.1462    0.7533    5.3530   -3.6887   -0.1456    3.1882   -0.6541   -0.3737    0.1685    0.0298   -1.1462
 34.00   52.1568  -65.5026    3.2197   -7.3686   -7.1532   28.5180    1.0565   -1.1863    0.7761    5.5628   -3.8447   -0.1532    3.2197   -0.6834   -0.3925    0.1773    0.0319   -1.1863
 35.00   52.1418  -66.2441    3.2491   -7.4798   -7.3139   29.2648    1.0946   -1.2262    0.7984    5.7722   -4.0013   -0.1608    3.2491   -0.7127   -0.4114    0.1862    0.0341   -1.2262
 36.00   52.1240  -66.9691    3.2764   -7.5876   -7.4724   29.9955    1.1325   -1.2657    0.8205    5.9813   -4.1582   -0.1685    3.2764   -0.7420   -0.4304    0.1951    0.0363   -1.2657
 37.00   52.1037  -67.6784    3.3018   -7.6922   -7.6286   30.7102    1.1702   -1.3050    0.8421    6.1898   -4.3155   -0.1763    3.3018   -0.7712   -0.4496    0.2042    0.0386   -1.3050
 38.00   52.0809  -68.3728    3.3254   -7.7936   -7.7828   31.4086    1.2078   -1.3439    0.8634    6.3979   -4.4730   -0.1841    3.3254   -0.8003   -0.4688    0.2133    0.0409   -1.3439
 39.00   52.0559  -69.0527    3.3473   -7.8920   -7.9350   32.0909    1.2453   -1.3825    0.8843    6.6053   -4.6308   -0.1920    3.3473   -0.8294   -0.4882    0.2224    0.0433   -1.3825
 40.00   52.0288  -69.7189    3.3674   -7.9874   -8.0853   32.7571    1.2826   -1.4209    0.9049    6.8120   -4.7888   -0.2000    3.3674   -0.8583   -0.5076    0.2316    0.0457   -1.4209
 41.00   51.9997  -70.3720    3.3859   -8.0802   -8.2336   33.4072    1.3197   -1.4589    0.9251    7.0180   -4.9470   -0.2079    3.3859   -0.8871   -0.5271    0.2408    0.0482   -1.4589
 42.00   51.9687  -71.0123    3.4030   -8.1702   -8.3801   34.0413    1.3566   -1.4965    0.9450    7.2232   -5.1053   -0.2160    3.4030   -0.9158   -0.5466    0.2501    0.0507   -1.4965
 43.00   51.9361  -71.6406    3.4185   -8.2577   -8.5248   34.6597    1.3933   -1.5339    0.9646    7.4275   -5.2636   -0.2241    3.4185   -0.9443   -0.5662    0.2594    0.0533   -1.5339
 44.00   51.9017  -72.2572    3.4326   -8.3428   -8.6678   35.2623    1.4298   -1.5709    0.9838    7.6310   -5.4220   -0.2322    3.4326   -0.9727   -0.5859    0.2687    0.0559   -1.5709
 45.00   51.8659  -72.8625    3.4454   -8.4254   -8.8092   35.8494    1.4661   -1.6076    1.0027    7.8336   -5.5804   -0.2404    3.4454   -1.0009   -0.6055    0.2780    0.0586   -1.6076
 46.00   51.8285  -73.4571    3.4569   -8.5058   -8.9489   36.4212    1.5022   -1.6440    1.0213    8.0351   -5.7388   -0.2487    3.4569   -1.0290   -0.6252    0.2874    0.0613   -1.6440
 47.00   51.7898  -74.0412    3.4671   -8.5840   -9.0870   36.9779    1.5381   -1.6801    1.0395    8.2357   -5.8972   -0.2570    3.4671   -1.0568   -0.6450    0.2968    0.0641   -1.6801
 48.00   51.7497  -74.6153    3.4762   -8.6601   -9.2237   37.5197    1.5738   -1.7158    1.0575    8.4353   -6.0555   -0.2654    3.4762   -1.0845   -0.6647    0.3061    0.0668   -1.7158
 49.00   51.7084  -75.1798    3.4841   -8.7342   -9.3588   38.0468    1.6092   -1.7513    1.0751    8.6337   -6.2138   -0.2738    3.4841   -1.1121   -0.6845    0.3155    0.0697   -1.7513
 50.00   51.6659  -75.7349    3.4909   -8.8063   -9.4925   38.5595    1.6444   -1.7864    1.0925    8.8311   -6.3720   -0.2822    3.4909   -1.1394   -0.7042    0.3249    0.0725   -1.7864
 51.00   51.6222  -76.2810    3.4967   -8.8764   -9.6248   39.0580    1.6793   -1.8212    1.1095    9.0273   -6.5300   -0.2907    3.4967   -1.1665   -0.7240    0.3343    0.0754   -1.8212
 52.00   51.5775  -76.8185    3.5014   -8.9448   -9.7557   39.5425    1.7140   -1.8556    1.1263    9.2224   -6.6880   -0.2993    3.5014   -1.1935   -0.7437    0.3437    0.0784   -1.8556
 53.00   51.5317  -77.3475    3.5052   -9.0114   -9.8853   40.0134    1.7484   -1.8898    1.1428    9.4163   -6.8458   -0.3079    3.5052   -1.2202   -0.7634    0.3531    0.0813   -1.8898
 54.00   51.4849  -77.8684    3.5080   -9.0763  -10.0136   40.4709    1.7827   -1.9236    1.1590    9.6091   -7.0034   -0.3166    3.5080   -1.2467   -0.7831    0.3625    0.0843   -1.9236
 55.00   51.4371  -78.3814    3.5099   -9.1395  -10.1407   40.9153    1.8166   -1.9572    1.1749    9.8006   -7.1609   -0.3253    3.5099   -1.2731   -0.8028    0.3718    0.0874   -1.9572
 56.00   51.3884  -78.8868    3.5110   -9.2011  -10.2665   41.3468    1.8503   -1.9904    1.1906    9.9908   -7.3182   -0.3341    3.5110   -1.2992   -0.8225    0.3812    0.0904   -1.9904
 57.00   51.3388  -79.3848    3.5112   -9.2612  -10.3912   41.7657    1.8838   -2.0233    1.2060   10.1798   -7.4753   -0.3429    3.5112   -1.3251   -0.8422    0.3905    0.0935   -2.0233
 58.00   51.2884  -79.8757    3.5106   -9.3197  -10.5147   42.1723    1.9170   -2.0559    1.2211   10.3675   -7.6322   -0.3518    3.5106   -1.3508   -0.8618    0.3999    0.0966   -2.0559
 59.00   51.2371  -80.3596    3.5092   -9.3768  -10.6370   42.5669    1.9499   -2.0882    1.2360   10.5540   -7.7890   -0.3608    3.5092   -1.3763   -0.8814    0.4092    0.0998   -2.0882
 60.00   51.1850  -80.8368    3.5070   -9.4325  -10.7582   42.9497    1.9826   -2.1202    1.2506   10.7391   -7.9455   -0.3698    3.5070   -1.4015   -0.9009    0.4185    0.1029   -2.1202
 61.00   51.1322  -81.3076    3.5041   -9.4869  -10.8784   43.3210    2.0150   -2.1519    1.2650   10.9229   -8.1018   -0.3788    3.5041   -1.4266   -0.9205    0.4277    0.1061   -2.1519
 62.00   51.0786  -81.7719    3.5005   -9.5399  -10.9975   43.6810    2.0472   -2.1834    1.2791   11.1053   -8.2579   -0.3880    3.5005   -1.4514   -0.9399    0.4370    0.1094   -2.1834
 63.00   51.0242  -82.2302    3.4962   -9.5916  -11.1156   44.0300    2.0791   -2.2145    1.2930   11.2865   -8.4137   -0.3971    3.4962   -1.4760   -0.9594    0.4462    0.1126   -2.2145
 64.00   50.9692  -82.6825    3.4913   -9.6421  -11.2327   44.3684    2.1107   -2.2453    1.3067   11.4662   -8.5693   -0.4064    3.4913   -1.5004   -0.9787    0.4554    0.1159   -2.2453
 65.00   50.9135  -83.1289    3.4857   -9.6913  -11.3488   44.6962    2.1421   -2.2759    1.3201   11.6446   -8.7247   -0.4157    3.4857   -1.5246   -0.9981    0.4645    0.1191   -2.2759
 66.00   50.8571  -83.5698    3.4796   -9.7394  -11.4639   45.0139    2.1732   -2.3061    1.3333   11.8216   -8.8798   -0.4251    3.4796   -1.5486   -1.0174    0.4736    0.1224   -2.3061
 67.00   50.8000  -84.0051    3.4728   -9.7864  -11.5781   45.3216    2.2041   -2.3361    1.3463   11.9973   -9.0347   -0.4345    3.4728   -1.5723   -1.0366    0.4827    0.1258   -2.3361
 68.00   50.7424  -84.4352    3.4654   -9.8322  -11.6914   45.6195    2.2347   -2.3658    1.3591   12.1715   -9.1893   -0.4440    3.4654   -1.5959   -1.0558    0.4918    0.1291   -2.3658
 69.00   50.6841  -84.8600    3.4575   -9.8769  -11.8037   45.9080    2.2650   -2.3952    1.3717   12.3443   -9.3437   -0.4536    3.4575   -1.6192   -1.0749    0.5008    0.1325   -2.3952
 70.00   50.6252  -85.2799    3.4490   -9.9206  -11.9152   46.1872    2.2951   -2.4243    1.3840   12.5157   -9.4978   -0.4632    3.4490   -1.6423   -1.0940    0.5098    0.1358   -2.4243
 71.00   50.5657  -85.6948    3.4401   -9.9633  -12.0259   46.4574    2.3249   -2.4532    1.3961   12.6857   -9.6517   -0.4729    3.4401   -1.6652   -1.1130    0.5188    0.1392   -2.4532
 72.00   50.5057  -86.1049    3.4306  -10.0049  -12.1357   46.7188    2.3545   -2.4818    1.4081   12.8543   -9.8053   -0.4827    3.4306   -1.6878   -1.1319    0.5277    0.1426   -2.4818
 73.00   50.4451  -86.5104    3.4206  -10.0456  -12.2446   46.9716    2.3838   -2.5101    1.4198   13.0214   -9.9586   -0.4925    3.4206   -1.7103   -1.1508    0.5366    0.1461   -2.5101
 74.00   50.3839  -86.9113    3.4101  -10.0853  -12.3528   47.2161    2.4128   -2.5381    1.4314   13.1871  -10.1117   -0.5024    3.4101   -1.7325   -1.1697    0.5455    0.1495   -2.5381
 75.00   50.3222  -87.3078    3.3992  -10.1242  -12.4602   47.4524    2.4415   -2.5659    1.4427   13.3514  -10.2645   -0.5124    3.3992   -1.7546   -1.1884    0.5543    0.1529   -2.5659
 76.00   50.2600  -87.7000    3.3878  -10.1621  -12.5668   47.6807    2.4701   -2.5934    1.4539   13.5142  -10.4171   -0.5224    3.3878   -1.7764   -1.2071    0.5631    0.1564   -2.5934
 77.00   50.1972  -88.0880    3.3760  -10.1991  -12.6726   47.9013    2.4983   -2.6207    1.4649   13.6756  -10.5694   -0.5325    3.3760   -1.7980   -1.2257    0.5718    0.1599   -2.6207
 78.00   50.1340  -88.4719    3.3638  -10.2353  -12.7777   48.1144    2.5263   -2.6477    1.4757   13.8355  -10.7214   -0.5427    3.3638   -1.8194   -1.2443    0.5805    0.1634   -2.6477
 79.00   50.0702  -88.8518    3.3511  -10.2706  -12.8821   48.3200    2.5540   -2.6744    1.4863   13.9939  -10.8731   -0.5529    3.3511   -1.8406   -1.2628    0.5891    0.1668   -2.6744
