# Tlab    np 1S0    np 3S1     np E1    np 1P1    np 3P1    np 3P0    np 3P2     np E2    np 1D2    np 3D2    np 3D1    np 3D3     np E1    np 1F3    np 3F3    np 3F2    np 3F4     np E2
130.00   46.2887   75.4641   -2.3571  -11.2746  -17.4527   52.2112    3.6469   -3.7371    1.8401   20.1462  -18.2748   -1.1704   -2.3571   -2.6721   -2.1027    0.9666    0.3464   -3.7371
131.00   46.2057   75.2070   -2.3333  -11.2827  -17.5304   52.2014    3.6625   -3.7527    1.8441   20.2302  -18.4137   -1.1842   -2.3333   -2.6840   -2.1170    0.9726    0.3498   -3.7527
132.00   46.1225   74.9513   -2.3095  -11.2904  -17.6077   52.1894    3.6779   -3.7680    1.8480   20.3128  -18.5524   -1.1981   -2.3095   -2.6958   -2.1312    0.9786    0.3532   -3.7680
133.00   46.0389   74.6969   -2.2855  -11.2977  -17.6846   52.1753    3.6930   -3.7832    1.8518   20.3942  -18.6909   -1.2120   -2.2855   -2.7074   -2.1453    0.9846    0.3565   -3.7832
134.00   45.9550   74.4438   -2.2615  -11.3048  -17.7612   52.1590    3.7080   -3.7981    1.8556   20.4742  -18.8292   -1.2260   -2.2615   -2.7189   -2.1593    0.9905    0.3598   -3.7981
135.00   45.8709   74.1920   -2.2373  -11.3114  -17.8373   52.1408    3.7227   -3.8129    1.8592   20.5528  -18.9673   -1.2400   -2.2373   -2.7302   -2.1733    0.9964    0.3631   -3.8129
136.00   45.7864   73.9415   -2.2131  -11.3178  -17.9130   52.1205    3.7373   -3.8275    1.8628   20.6302  -19.1051   -1.2540   -2.2131   -2.7413   -2.1871    1.0022    0.3664   -3.8275
137.00   45.7017   73.6922   -2.1888  -11.3238  -17.9884   52.0982    3.7516   -3.8420    1.8662   20.7063  -19.2427   -1.2682   -2.1888   -2.7524   -2.2009    1.0079    0.3697   -3.8420
138.00   45.6166   73.4441   -2.1644  -11.3295  -18.0634   52.0740    3.7658   -3.8562    1.8696   20.7811  -19.3801   -1.2823   -2.1644   -2.7632   -2.2145    1.0136    0.3730   -3.8562
139.00   45.5313   73.1972   -2.1399  -11.3348  -18.1380   52.0479    3.7797   -3.8703    1.8729   20.8545  -19.5173   -1.2965   -2.1399   -2.7740   -2.2281    1.0193    0.3763   -3.8703
140.00   45.4457   72.9515   -2.1154  -11.3399  -18.2122   52.0199    3.7934   -3.8841    1.8761   20.9267  -19.6543   -1.3108   -2.1154   -2.7846   -2.2416    1.0249    0.3795   -3.8841
141.00   45.3598   72.7069   -2.0908  -11.3446  -18.2861   51.9901    3.8070   -3.8978    1.8792   20.9976  -19.7910   -1.3251   -2.0908   -2.7950   -2.2550    1.0304    0.3828   -3.8978
142.00   45.2736   72.4635   -2.0661  -11.3490  -18.3595   51.9585    3.8203   -3.9113    1.8823   21.0672  -19.9275   -1.3395   -2.0661   -2.8053   -2.2682    1.0359    0.3860   -3.9113
143.00   45.1871   72.2212   -2.0413  -11.3531  -18.4326   51.9251    3.8334   -3.9247    1.8852   21.1356  -20.0638   -1.3539   -2.0413   -2.8154   -2.2815    1.0413    0.3892   -3.9247
144.00   45.1004   71.9800   -2.0165  -11.3568  -18.5053   51.8900    3.8464   -3.9378    1.8881   21.2027  -20.1999   -1.3683   -2.0165   -2.8255   -2.2946    1.0467    0.3924   -3.9378
145.00   45.0134   71.7399   -1.9916  -11.3603  -18.5777   51.8532    3.8591   -3.9508    1.8909   21.2685  -20.3358   -1.3828   -1.9916   -2.8353   -2.3076    1.0521    0.3956   -3.9508
146.00   44.9261   71.5008   -1.9666  -11.3634  -18.6497   51.8148    3.8717   -3.9636    1.8936   21.3331  -20.4714   -1.3973   -1.9666   -2.8450   -2.3205    1.0573    0.3987   -3.9636
147.00   44.8385   71.2628   -1.9416  -11.3663  -18.7213   51.7747    3.8840   -3.9762    1.8962   21.3964  -20.6068   -1.4118   -1.9416   -2.8546   -2.3334    1.0626    0.4019   -3.9762
148.00   44.7506   71.0258   -1.9165  -11.3688  -18.7925   51.7330    3.8962   -3.9887    1.8988   21.4585  -20.7420   -1.4264   -1.9165   -2.8641   -2.3461    1.0677    0.4050   -3.9887
149.00   44.6625   70.7898   -1.8914  -11.3711  -18.8633   51.6897    3.9081   -4.0010    1.9012   21.5193  -20.8770   -1.4410   -1.8914   -2.8734   -2.3588    1.0729    0.4081   -4.0010
150.00   44.5741   70.5549   -1.8662  -11.3730  -18.9338   51.6448    3.9199   -4.0131    1.9036   21.5789  -21.0118   -1.4557   -1.8662   -2.8825   -2.3713    1.0779    0.4112   -4.0131
151.00   44.4854   70.3209   -1.8410  -11.3747  -19.0039   51.5985    3.9315   -4.0250    1.9059   21.6373  -21.1463   -1.4704   -1.8410   -2.8916   -2.3838    1.0830    0.4143   -4.0250
152.00   44.3965   70.0878   -1.8156  -11.3760  -19.0737   51.5506    3.9429   -4.0367    1.9082   21.6945  -21.2806   -1.4851   -1.8156   -2.9004   -2.3962    1.0879    0.4174   -4.0367
153.00   44.3072   69.8557   -1.7903  -11.3771  -19.1431   51.5013    3.9541   -4.0483    1.9103   21.7505  -21.4148   -1.4999   -1.7903   -2.9092   -2.4085    1.0928    0.4204   -4.0483
154.00   44.2178   69.6246   -1.7649  -11.3779  -19.2121   51.4505    3.9651   -4.0597    1.9124   21.8052  -21.5486   -1.5147   -1.7649   -2.9178   -2.4207    1.0977    0.4234   -4.0597
155.00   44.1280   69.3944   -1.7394  -11.3784  -19.2807   51.3983    3.9759   -4.0709    1.9144   21.8588  -21.6823   -1.5295   -1.7394   -2.9263   -2.4328    1.1025    0.4265   -4.0709
156.00   44.0380   69.1650   -1.7140  -11.3786  -19.3490   51.3447    3.9865   -4.0820    1.9163   21.9112  -21.8157   -1.5443   -1.7140   -2.9346   -2.4448    1.1073    0.4295   -4.0820
157.00   43.9477   68.9366   -1.6884  -11.3785  -19.4169   51.2897    3.9969   -4.0929    1.9182   21.9623  -21.9490   -1.5592   -1.6884   -2.9428   -2.4567    1.1120    0.4324   -4.0929
158.00   43.8572   68.7090   -1.6628  -11.3781  -19.4844   51.2334    4.0072   -4.1036    1.9200   22.0124  -22.0820   -1.5741   -1.6628   -2.9509   -2.4685    1.1166    0.4354   -4.1036
159.00   43.7664   68.4823   -1.6372  -11.3775  -19.5516   51.1758    4.0173   -4.1141    1.9217   22.0612  -22.2147   -1.5890   -1.6372   -2.9588   -2.4803    1.1212    0.4384   -4.1141
160.00   43.6753   68.2564   -1.6116  -11.3765  -19.6184   51.1168    4.0271   -4.1245    1.9233   22.1088  -22.3473   -1.6040   -1.6116   -2.9666   -2.4919    1.1258    0.4413   -4.1245
161.00   43.5840   68.0314   -1.5859  -11.3753  -19.6848   51.0566    4.0368   -4.1347    1.9249   22.1554  -22.4796   -1.6189   -1.5859   -2.9743   -2.5034    1.1303    0.4442   -4.1347
162.00   43.4924   67.8072   -1.5601  -11.3739  -19.7508   50.9951    4.0464   -4.1447    1.9264   22.2007  -22.6117   -1.6339   -1.5601   -2.9818   -2.5149    1.1347    0.4471   -4.1447
163.00   43.4006   67.5838   -1.5344  -11.3721  -19.8165   50.9324    4.0557   -4.1546    1.9278   22.2449  -22.7436   -1.6489   -1.5344   -2.9892   -2.5262    1.1391    0.4500   -4.1546
164.00   43.3085   67.3612   -1.5086  -11.3701  -19.8818   50.8685    4.0648   -4.1643    1.9291   22.2880  -22.8753   -1.6639   -1.5086   -2.9965   -2.5375    1.1435    0.4528   -4.1643
165.00   43.2162   67.1394   -1.4827  -11.3678  -19.9468   50.8033    4.0738   -4.1738    1.9304   22.3299  -23.0067   -1.6790   -1.4827   -3.0036   -2.5486    1.1478    0.4557   -4.1738
166.00   43.1236   66.9183   -1.4569  -11.3652  -20.0113   50.7370    4.0826   -4.1832    1.9316   22.3707  -23.1379   -1.6940   -1.4569   -3.0106   -2.5597    1.1520    0.4585   -4.1832
167.00   43.0307   66.6981   -1.4310  -11.3624  -20.0755   50.6696    4.0912   -4.1924    1.9327   22.4104  -23.2689   -1.7091   -1.4310   -3.0175   -2.5707    1.1562    0.4613   -4.1924
168.00   42.9377   66.4785   -1.4051  -11.3593  -20.1394   50.6009    4.0996   -4.2014    1.9338   22.4489  -23.3996   -1.7242   -1.4051   -3.0243   -2.5815    1.1603    0.4641   -4.2014
169.00   42.8443   66.2597   -1.3791  -11.3559  -20.2028   50.5312    4.1079   -4.2102    1.9348   22.4864  -23.5301   -1.7393   -1.3791   -3.0309   -2.5923    1.1644    0.4668   -4.2102
170.00   42.7507   66.0416   -1.3531  -11.3522  -20.2659   50.4604    4.1159   -4.2189    1.9357   22.5227  -23.6604   -1.7544   -1.3531   -3.0374   -2.6030    1.1684    0.4696   -4.2189
171.00   42.6569   65.8243   -1.3271  -11.3483  -20.3286   50.3885    4.1238   -4.2275    1.9366   22.5580  -23.7905   -1.7695   -1.3271   -3.0437   -2.6135    1.1724    0.4723   -4.2275
172.00   42.5628   65.6076   -1.3011  -11.3442  -20.3910   50.3155    4.1315   -4.2358    1.9373   22.5921  -23.9203   -1.7846   -1.3011   -3.0500   -2.6240    1.1763    0.4750   -4.2358
173.00   42.4685   65.3916   -1.2751  -11.3397  -20.4529   50.2414    4.1391   -4.2440    1.9381   22.6252  -24.0499   -1.7997   -1.2751   -3.0561   -2.6344    1.1802    0.4777   -4.2440
174.00   42.3740   65.1763   -1.2490  -11.3350  -20.5145   50.1664    4.1464   -4.2520    1.9387   22.6572  -24.1792   -1.8149   -1.2490   -3.0621   -2.6447    1.1841    0.4803   -4.2520
175.00   42.2792   64.9617   -1.2230  -11.3301  -20.5757   50.0903    4.1536   -4.2599    1.9393   22.6881  -24.3083   -1.8300   -1.2230   -3.0679   -2.6549    1.1878    0.4830   -4.2599
176.00   42.1841   64.7478   -1.1969  -11.3249  -20.6365   50.0132    4.1606   -4.2676    1.9398   22.7180  -24.4372   -1.8451   -1.1969   -3.0736   -2.6650    1.1916    0.4856   -4.2676
177.00   42.0889   64.5345   -1.1708  -11.3194  -20.6970   49.9351    4.1675   -4.2752    1.9403   22.7468  -24.5658   -1.8603   -1.1708   -3.0792   -2.6750    1.1952    0.4882   -4.2752
178.00   41.9934   64.3218   -1.1446  -11.3137  -20.7570   49.8560    4.1741   -4.2825    1.9407   22.7745  -24.6942   -1.8754   -1.1446   -3.0847   -2.6849    1.1988    0.4908   -4.2825
179.00   41.8976   64.1098   -1.1185  -11.3077  -20.8167   49.7760    4.1806   -4.2898    1.9410   22.8012  -24.8224   -1.8905   -1.1185   -3.0901   -2.6947    1.2024    0.4933   -4.2898
180.00   41.8017   63.8984   -1.0923  -11.3015  -20.8760   49.6951    4.1869   -4.2968    1.9413   22.8269  -24.9503   -1.9057   -1.0923   -3.0953   -2.7043    1.2059    0.4959   -4.2968
181.00   41.7054   63.6876   -1.0662  -11.2950  -20.9349   49.6132    4.1931   -4.3037    1.9414   22.8515  -25.0780   -1.9208   -1.0662   -3.1004   -2.7139    1.2094    0.4984   -4.3037
182.00   41.6090   63.4774   -1.0400  -11.2883  -20.9934   49.5304    4.1991   -4.3104    1.9416   22.8752  -25.2054   -1.9359   -1.0400   -3.1053   -2.7234    1.2128    0.5009   -4.3104
183.00   41.5123   63.2678   -1.0138  -11.2813  -21.0516   49.4467    4.2049   -4.3170    1.9416   22.8978  -25.3326   -1.9510   -1.0138   -3.1102   -2.7328    1.2162    0.5034   -4.3170
184.00   41.4154   63.0588   -0.9876  -11.2741  -21.1093   49.3622    4.2105   -4.3234    1.9417   22.9193  -25.4595   -1.9661   -0.9876   -3.1149   -2.7421    1.2195    0.5058   -4.3234
185.00   41.3183   62.8504   -0.9614  -11.2666  -21.1667   49.2767    4.2160   -4.3297    1.9416   22.9399  -25.5862   -1.9812   -0.9614   -3.1195   -2.7513    1.2228    0.5083   -4.3297
186.00   41.2210   62.6425   -0.9352  -11.2589  -21.2237   49.1904    4.2213   -4.3357    1.9415   22.9595  -25.7126   -1.9963   -0.9352   -3.1240   -2.7604    1.2260    0.5107   -4.3357
187.00   41.1234   62.4352   -0.9090  -11.2509  -21.2803   49.1033    4.2265   -4.3417    1.9413   22.9781  -25.8388   -2.0114   -0.9090   -3.1284   -2.7694    1.2292    0.5131   -4.3417
188.00   41.0256   62.2285   -0.8828  -11.2426  -21.3364   49.0153    4.2315   -4.3474    1.9411   22.9956  -25.9647   -2.0264   -0.8828   -3.1326   -2.7783    1.2323    0.5154   -4.3474
189.00   40.9276   62.0223   -0.8566  -11.2342  -21.3922   48.9265    4.2363   -4.3531    1.9408   23.0122  -26.0904   -2.0414   -0.8566   -3.1367   -2.7871    1.2354    0.5178   -4.3531
190.00   40.8294   61.8167   -0.8304  -11.2255  -21.4476   48.8369    4.2409   -4.3585    1.9404   23.0279  -26.2158   -2.0565   -0.8304   -3.1407   -2.7958    1.2384    0.5201   -4.3585
191.00   40.7309   61.6116   -0.8041  -11.2165  -21.5026   48.7465    4.2454   -4.3638    1.9400   23.0425  -26.3409   -2.0715   -0.8041   -3.1446   -2.8044    1.2413    0.5224   -4.3638
192.00   40.6323   61.4070   -0.7779  -11.2073  -21.5572   48.6553    4.2497   -4.3689    1.9395   23.0563  -26.4658   -2.0864   -0.7779   -3.1484   -2.8129    1.2443    0.5247   -4.3689
193.00   40.5334   61.2029   -0.7517  -11.1978  -21.6114   48.5633    4.2539   -4.3739    1.9389   23.0690  -26.5904   -2.1014   -0.7517   -3.1520   -2.8213    1.2471    0.5269   -4.3739
194.00   40.4343   60.9994   -0.7255  -11.1882  -21.6652   48.4706    4.2579   -4.3788    1.9383   23.0808  -26.7148   -2.1163   -0.7255   -3.1555   -2.8296    1.2499    0.5292   -4.3788
195.00   40.3350   60.7963   -0.6992  -11.1782  -21.7185   48.3771    4.2617   -4.3834    1.9377   23.0917  -26.8389   -2.1313   -0.6992   -3.1589   -2.8377    1.2527    0.5314   -4.3834
196.00   40.2354   60.5937   -0.6730  -11.1681  -21.7715   48.2829    4.2654   -4.3879    1.9369   23.1016  -26.9627   -2.1461   -0.6730   -3.1622   -2.8458    1.2554    0.5336   -4.3879
197.00   40.1357   60.3917   -0.6468  -11.1576  -21.8241   48.1880    4.2689   -4.3923    1.9362   23.1106  -27.0862   -2.1610   -0.6468   -3.1653   -2.8538    1.2581    0.5357   -4.3923
198.00   40.0358   60.1901   -0.6206  -11.1470  -21.8762   48.0923    4.2723   -4.3965    1.9353   23.1186  -27.2095   -2.1758   -0.6206   -3.1684   -2.8617    1.2607    0.5379   -4.3965
199.00   39.9356   59.9890   -0.5944  -11.1361  -21.9279   47.9960    4.2755   -4.4005    1.9344   23.1258  -27.3325   -2.1906   -0.5944   -3.1713   -2.8694    1.2633    0.5400   -4.4005
200.00   39.8352   59.7883   -0.5682  -11.1250  -21.9793   47.8989    4.2785   -4.4044    1.9335   23.1320  -27.4552   -2.2054   -0.5682   -3.1741   -2.8771    1.2658    0.5421   -4.4044
201.00   39.7347   59.5881   -0.5420  -11.1136  -22.0302   47.8012    4.2814   -4.4082    1.9324   23.1373  -27.5776   -2.2201   -0.5420   -3.1768   -2.8847    1.2683    0.5442   -4.4082
202.00   39.6339   59.3884   -0.5158  -11.1020  -22.0806   47.7027    4.2841   -4.4118    1.9314   23.1418  -27.6998   -2.2348   -0.5158   -3.1794   -2.8921    1.2707    0.5462   -4.4118
203.00   39.5330   59.1891   -0.4896  -11.0902  -22.1307   47.6037    4.2867   -4.4152    1.9302   23.1453  -27.8216   -2.2495   -0.4896   -3.1818   -2.8995    1.2731    0.5482   -4.4152
204.00   39.4318   58.9903   -0.4635  -11.0781  -22.1803   47.5039    4.2891   -4.4185    1.9291   23.1480  -27.9432   -2.2641   -0.4635   -3.1842   -2.9067    1.2754    0.5502   -4.4185
205.00   39.3304   58.7919   -0.4373  -11.0658  -22.2295   47.4035    4.2913   -4.4216    1.9278   23.1497  -28.0645   -2.2787   -0.4373   -3.1864   -2.9139    1.2777    0.5522   -4.4216
206.00   39.2289   58.5940   -0.4112  -11.0533  -22.2783   47.3025    4.2934   -4.4246    1.9265   23.1506  -28.1855   -2.2933   -0.4112   -3.1885   -2.9209    1.2799    0.5542   -4.4246
207.00   39.1271   58.3964   -0.3850  -11.0405  -22.3266   47.2008    4.2954   -4.4274    1.9252   23.1507  -28.3062   -2.3078   -0.3850   -3.1905   -2.9279    1.2821    0.5561   -4.4274
208.00   39.0251   58.1993   -0.3589  -11.0275  -22.3746   47.0985    4.2972   -4.4301    1.9238   23.1498  -28.4265   -2.3223   -0.3589   -3.1923   -2.9347    1.2842    0.5580   -4.4301
209.00   38.9230   58.0026   -0.3328  -11.0143  -22.4220   46.9957    4.2988   -4.4326    1.9223   23.1481  -28.5466   -2.3367   -0.3328   -3.1941   -2.9414    1.2863    0.5599   -4.4326
210.00   38.8207   57.8064   -0.3067  -11.0008  -22.4691   46.8922    4.3003   -4.4349    1.9208   23.1456  -28.6664   -2.3511   -0.3067   -3.1958   -2.9481    1.2883    0.5618   -4.4349
211.00   38.7181   57.6105   -0.2806  -10.9872  -22.5157   46.7881    4.3017   -4.4372    1.9192   23.1422  -28.7859   -2.3654   -0.2806   -3.1973   -2.9546    1.2903    0.5636   -4.4372
212.00   38.6154   57.4150   -0.2546  -10.9732  -22.5618   46.6834    4.3029   -4.4392    1.9176   23.1380  -28.9051   -2.3797   -0.2546   -3.1987   -2.9610    1.2922    0.5654   -4.4392
213.00   38.5125   57.2199   -0.2285  -10.9591  -22.6075   46.5781    4.3039   -4.4411    1.9159   23.1329  -29.0239   -2.3939   -0.2285   -3.2000   -2.9673    1.2941    0.5672   -4.4411
214.00   38.4094   57.0252   -0.2025  -10.9447  -22.6528   46.4723    4.3048   -4.4429    1.9142   23.1271  -29.1425   -2.4081   -0.2025   -3.2012   -2.9735    1.2960    0.5689   -4.4429
215.00   38.3061   56.8309   -0.1765  -10.9301  -22.6976   46.3659    4.3056   -4.4445    1.9124   23.1204  -29.2607   -2.4222   -0.1765   -3.2023   -2.9796    1.2978    0.5707   -4.4445
216.00   38.2027   56.6370   -0.1505  -10.9153  -22.7419   46.2590    4.3062   -4.4460    1.9106   23.1128  -29.3786   -2.4363   -0.1505   -3.2033   -2.9856    1.2995    0.5724   -4.4460
217.00   38.0990   56.4435   -0.1245  -10.9002  -22.7858   46.1515    4.3066   -4.4473    1.9087   23.1045  -29.4962   -2.4503   -0.1245   -3.2041   -2.9914    1.3012    0.5741   -4.4473
218.00   37.9952   56.2503   -0.0985  -10.8850  -22.8293   46.0435    4.3069   -4.4485    1.9067   23.0954  -29.6134   -2.4643   -0.0985   -3.2049   -2.9972    1.3029    0.5758   -4.4485
219.00   37.8912   56.0575   -0.0726  -10.8694  -22.8723   45.9350    4.3071   -4.4495    1.9048   23.0855  -29.7303   -2.4782   -0.0726   -3.2055   -3.0029    1.3045    0.5774   -4.4495
220.00   37.7871   55.8651   -0.0467  -10.8537  -22.9148   45.8259    4.3071   -4.4504    1.9027   23.0748  -29.8469   -2.4921   -0.0467   -3.2060   -3.0084    1.3060    0.5790   -4.4504
221.00   37.6827   55.6730   -0.0208  -10.8378  -22.9568   45.7163    4.3070   -4.4511    1.9006   23.0633  -29.9632   -2.5059   -0.0208   -3.2064   -3.0139    1.3075    0.5806   -4.4511
222.00   37.5782   55.4813    0.0051  -10.8216  -22.9984   45.6063    4.3067   -4.4517    1.8985   23.0510  -30.0791   -2.5196    0.0051   -3.2067   -3.0192    1.3090    0.5822   -4.4517
223.00   37.4735   55.2899    0.0309  -10.8052  -23.0395   45.4957    4.3063   -4.4522    1.8963   23.0380  -30.1947   -2.5332    0.0309   -3.2069   -3.0244    1.3104    0.5837   -4.4522
224.00   37.3686   55.0988    0.0568  -10.7886  -23.0802   45.3846    4.3057   -4.4525    1.8940   23.0242  -30.3099   -2.5468    0.0568   -3.2070   -3.0296    1.3118    0.5852   -4.4525
225.00   37.2636   54.9082    0.0826  -10.7717  -23.1203   45.2730    4.3050   -4.4526    1.8917   23.0096  -30.4247   -2.5604    0.0826   -3.2070   -3.0346    1.3131    0.5867   -4.4526
226.00   37.1584   54.7178    0.1083  -10.7547  -23.1600   45.1610    4.3042   -4.4527    1.8894   22.9943  -30.5393   -2.5738    0.1083   -3.2068   -3.0395    1.3144    0.5882   -4.4527
227.00   37.0530   54.5278    0.1341  -10.7374  -23.1992   45.0485    4.3032   -4.4525    1.8870   22.9782  -30.6534   -2.5872    0.1341   -3.2066   -3.0443    1.3156    0.5896   -4.4525
228.00   36.9475   54.3381    0.1598  -10.7199  -23.2379   44.9355    4.3021   -4.4522    1.8845   22.9614  -30.7672   -2.6005    0.1598   -3.2062   -3.0490    1.3168    0.5910   -4.4522
229.00   36.8418   54.1487    0.1855  -10.7022  -23.2761   44.8221    4.3008   -4.4518    1.8820   22.9439  -30.8806   -2.6138    0.1855   -3.2058   -3.0536    1.3179    0.5924   -4.4518
230.00   36.7359   53.9597    0.2112  -10.6843  -23.3139   44.7082    4.2994   -4.4513    1.8795   22.9256  -30.9937   -2.6270    0.2112   -3.2052   -3.0581    1.3190    0.5938   -4.4513
231.00   36.6299   53.7710    0.2369  -10.6661  -23.3511   44.5938    4.2979   -4.4506    1.8769   22.9066  -31.1064   -2.6401    0.2369   -3.2045   -3.0624    1.3200    0.5951   -4.4506
232.00   36.5237   53.5826    0.2625  -10.6478  -23.3878   44.4791    4.2962   -4.4497    1.8743   22.8869  -31.2187   -2.6531    0.2625   -3.2038   -3.0667    1.3210    0.5964   -4.4497
233.00   36.4174   53.3945    0.2881  -10.6292  -23.4241   44.3639    4.2944   -4.4487    1.8716   22.8665  -31.3307   -2.6661    0.2881   -3.2029   -3.0708    1.3220    0.5977   -4.4487
234.00   36.3109   53.2067    0.3136  -10.6104  -23.4598   44.2482    4.2924   -4.4476    1.8688   22.8453  -31.4422   -2.6789    0.3136   -3.2019   -3.0749    1.3229    0.5990   -4.4476
235.00   36.2043   53.0192    0.3392  -10.5914  -23.4950   44.1322    4.2904   -4.4463    1.8660   22.8235  -31.5534   -2.6917    0.3392   -3.2008   -3.0788    1.3238    0.6002   -4.4463
236.00   36.0975   52.8321    0.3647  -10.5722  -23.5297   44.0157    4.2881   -4.4449    1.8632   22.8009  -31.6642   -2.7044    0.3647   -3.1996   -3.0826    1.3246    0.6014   -4.4449
237.00   35.9905   52.6452    0.3901  -10.5527  -23.5639   43.8988    4.2858   -4.4434    1.8603   22.7777  -31.7745   -2.7171    0.3901   -3.1982   -3.0863    1.3253    0.6026   -4.4434
238.00   35.8835   52.4586    0.4156  -10.5331  -23.5976   43.7816    4.2833   -4.4417    1.8574   22.7538  -31.8845   -2.7296    0.4156   -3.1968   -3.0899    1.3261    0.6038   -4.4417
239.00   35.7762   52.2724    0.4410  -10.5132  -23.6308   43.6639    4.2807   -4.4399    1.8544   22.7292  -31.9941   -2.7421    0.4410   -3.1953   -3.0934    1.3267    0.6049   -4.4399
240.00   35.6688   52.0864    0.4664  -10.4932  -23.6635   43.5458    4.2780   -4.4379    1.8514   22.7039  -32.1033   -2.7544    0.4664   -3.1937   -3.0968    1.3274    0.6060   -4.4379
241.00   35.5613   51.9007    0.4917  -10.4729  -23.6956   43.4274    4.2751   -4.4358    1.8484   22.6780  -32.2120   -2.7667    0.4917   -3.1920   -3.1001    1.3280    0.6071   -4.4358
242.00   35.4536   51.7153    0.5170  -10.4524  -23.7272   43.3086    4.2721   -4.4336    1.8453   22.6514  -32.3204   -2.7789    0.5170   -3.1901   -3.1032    1.3285    0.6082   -4.4336
243.00   35.3458   51.5301    0.5423  -10.4317  -23.7582   43.1894    4.2689   -4.4312    1.8421   22.6241  -32.4283   -2.7910    0.5423   -3.1882   -3.1063    1.3290    0.6092   -4.4312
244.00   35.2379   51.3453    0.5675  -10.4108  -23.7888   43.0698    4.2657   -4.4287    1.8389   22.5962  -32.5358   -2.8030    0.5675   -3.1861   -3.1092    1.3295    0.6102   -4.4287
245.00   35.1298   51.1607    0.5927  -10.3897  -23.8188   42.9499    4.2623   -4.4261    1.8357   22.5676  -32.6429   -2.8150    0.5927   -3.1840   -3.1120    1.3299    0.6112   -4.4261
246.00   35.0216   50.9764    0.6179  -10.3684  -23.8482   42.8296    4.2587   -4.4233    1.8324   22.5384  -32.7495   -2.8268    0.6179   -3.1818   -3.1148    1.3303    0.6122   -4.4233
247.00   34.9132   50.7924    0.6431  -10.3469  -23.8771   42.7090    4.2551   -4.4204    1.8291   22.5086  -32.8557   -2.8385    0.6431   -3.1794   -3.1174    1.3306    0.6131   -4.4204
248.00   34.8048   50.6086    0.6682  -10.3252  -23.9055   42.5880    4.2513   -4.4173    1.8257   22.4781  -32.9614   -2.8501    0.6682   -3.1770   -3.1199    1.3309    0.6140   -4.4173
249.00   34.6961   50.4251    0.6932  -10.3033  -23.9333   42.4667    4.2474   -4.4142    1.8223   22.4470  -33.0667   -2.8617    0.6932   -3.1744   -3.1223    1.3311    0.6149   -4.4142
250.00   34.5874   50.2419    0.7182  -10.2812  -23.9605   42.3450    4.2434   -4.4108    1.8188   22.4153  -33.1716   -2.8731    0.7182   -3.1718   -3.1245    1.3313    0.6158   -4.4108
251.00   34.4785   50.0589    0.7432  -10.2588  -23.9872   42.2231    4.2392   -4.4074    1.8153   22.3830  -33.2760   -2.8845    0.7432   -3.1690   -3.1267    1.3314    0.6166   -4.4074
252.00   34.3695   49.8762    0.7682  -10.2363  -24.0134   42.1008    4.2350   -4.4038    1.8118   22.3500  -33.3799   -2.8957    0.7682   -3.1662   -3.1288    1.3315    0.6174   -4.4038
253.00   34.2604   49.6938    0.7931  -10.2136  -24.0389   41.9781    4.2306   -4.4001    1.8082   22.3165  -33.4834   -2.9068    0.7931   -3.1632   -3.1307    1.3316    0.6182   -4.4001
254.00   34.1512   49.5116    0.8180  -10.1907  -24.0639   41.8552    4.2260   -4.3963    1.8045   22.2823  -33.5864   -2.9178    0.8180   -3.1602   -3.1325    1.3316    0.6189   -4.3963
255.00   34.0418   49.3296    0.8428  -10.1676  -24.0884   41.7320    4.2214   -4.3923    1.8009   22.2476  -33.6889   -2.9288    0.8428   -3.1571   -3.1343    1.3316    0.6196   -4.3923
256.00   33.9324   49.1479    0.8676  -10.1442  -24.1122   41.6084    4.2166   -4.3882    1.7972   22.2123  -33.7909   -2.9396    0.8676   -3.1538   -3.1359    1.3315    0.6203   -4.3882
257.00   33.8228   48.9665    0.8923  -10.1207  -24.1355   41.4846    4.2117   -4.3840    1.7934   22.1764  -33.8925   -2.9503    0.8923   -3.1505   -3.1374    1.3314    0.6210   -4.3840
258.00   33.7131   48.7853    0.9171  -10.0970  -24.1582   41.3604    4.2067   -4.3796    1.7896   22.1399  -33.9935   -2.9609    0.9171   -3.1471   -3.1388    1.3313    0.6217   -4.3796
259.00   33.6033   48.6044    0.9417  -10.0731  -24.1803   41.2360    4.2016   -4.3751    1.7858   22.1029  -34.0941   -2.9714    0.9417   -3.1435   -3.1400    1.3311    0.6223   -4.3751
260.00   33.4933   48.4237    0.9663  -10.0490  -24.2019   41.1113    4.1964   -4.3705    1.7819   22.0652  -34.1942   -2.9818    0.9663   -3.1399   -3.1412    1.3309    0.6229   -4.3705
261.00   33.3833   48.2432    0.9909  -10.0248  -24.2228   40.9863    4.1910   -4.3658    1.7780   22.0271  -34.2937   -2.9920    0.9909   -3.1362   -3.1423    1.3306    0.6235   -4.3658
262.00   33.2731   48.0630    1.0155  -10.0003  -24.2431   40.8610    4.1856   -4.3609    1.7741   21.9883  -34.3927   -3.0022    1.0155   -3.1323   -3.1432    1.3303    0.6240   -4.3609
263.00   33.1629   47.8830    1.0400   -9.9756  -24.2629   40.7355    4.1800   -4.3560    1.7701   21.9490  -34.4913   -3.0122    1.0400   -3.1284   -3.1441    1.3299    0.6245   -4.3560
