# Tlab    np 1S0    np 3S1     np E1    np 1P1    np 3P1    np 3P0    np 3P2     np E2    np 3D1  np 3F2 
226.00   37.1584   54.7178    0.1083  -10.7547  -23.1600   45.1610    4.3042   -4.4527  -30.5393  1.3144 
227.00   37.0530   54.5278    0.1341  -10.7374  -23.1992   45.0485    4.3032   -4.4525  -30.6534  1.3156 
228.00   36.9475   54.3381    0.1598  -10.7199  -23.2379   44.9355    4.3021   -4.4522  -30.7672  1.3168 
229.00   36.8418   54.1487    0.1855  -10.7022  -23.2761   44.8221    4.3008   -4.4518  -30.8806  1.3179 
230.00   36.7359   53.9597    0.2112  -10.6843  -23.3139   44.7082    4.2994   -4.4513  -30.9937  1.3190 
231.00   36.6299   53.7710    0.2369  -10.6661  -23.3511   44.5938    4.2979   -4.4506  -31.1064  1.3200 
232.00   36.5237   53.5826    0.2625  -10.6478  -23.3878   44.4791    4.2962   -4.4497  -31.2187  1.3210 
233.00   36.4174   53.3945    0.2881  -10.6292  -23.4241   44.3639    4.2944   -4.4487  -31.3307  1.3220 
234.00   36.3109   53.2067    0.3136  -10.6104  -23.4598   44.2482    4.2924   -4.4476  -31.4422  1.3229 
235.00   36.2043   53.0192    0.3392  -10.5914  -23.4950   44.1322    4.2904   -4.4463  -31.5534  1.3238 
236.00   36.0975   52.8321    0.3647  -10.5722  -23.5297   44.0157    4.2881   -4.4449  -31.6642  1.3246 
237.00   35.9905   52.6452    0.3901  -10.5527  -23.5639   43.8988    4.2858   -4.4434  -31.7745  1.3253 
238.00   35.8835   52.4586    0.4156  -10.5331  -23.5976   43.7816    4.2833   -4.4417  -31.8845  1.3261 
239.00   35.7762   52.2724    0.4410  -10.5132  -23.6308   43.6639    4.2807   -4.4399  -31.9941  1.3267 
240.00   35.6688   52.0864    0.4664  -10.4932  -23.6635   43.5458    4.2780   -4.4379  -32.1033  1.3274 
241.00   35.5613   51.9007    0.4917  -10.4729  -23.6956   43.4274    4.2751   -4.4358  -32.2120  1.3280 
242.00   35.4536   51.7153    0.5170  -10.4524  -23.7272   43.3086    4.2721   -4.4336  -32.3204  1.3285 
243.00   35.3458   51.5301    0.5423  -10.4317  -23.7582   43.1894    4.2689   -4.4312  -32.4283  1.3290 
244.00   35.2379   51.3453    0.5675  -10.4108  -23.7888   43.0698    4.2657   -4.4287  -32.5358  1.3295 
245.00   35.1298   51.1607    0.5927  -10.3897  -23.8188   42.9499    4.2623   -4.4261  -32.6429  1.3299 
246.00   35.0216   50.9764    0.6179  -10.3684  -23.8482   42.8296    4.2587   -4.4233  -32.7495  1.3303 
247.00   34.9132   50.7924    0.6431  -10.3469  -23.8771   42.7090    4.2551   -4.4204  -32.8557  1.3306 
248.00   34.8048   50.6086    0.6682  -10.3252  -23.9055   42.5880    4.2513   -4.4173  -32.9614  1.3309 
249.00   34.6961   50.4251    0.6932  -10.3033  -23.9333   42.4667    4.2474   -4.4142  -33.0667  1.3311 
250.00   34.5874   50.2419    0.7182  -10.2812  -23.9605   42.3450    4.2434   -4.4108  -33.1716  1.3313 
251.00   34.4785   50.0589    0.7432  -10.2588  -23.9872   42.2231    4.2392   -4.4074  -33.2760  1.3314 
252.00   34.3695   49.8762    0.7682  -10.2363  -24.0134   42.1008    4.2350   -4.4038  -33.3799  1.3315 
253.00   34.2604   49.6938    0.7931  -10.2136  -24.0389   41.9781    4.2306   -4.4001  -33.4834  1.3316 
254.00   34.1512   49.5116    0.8180  -10.1907  -24.0639   41.8552    4.2260   -4.3963  -33.5864  1.3316 
255.00   34.0418   49.3296    0.8428  -10.1676  -24.0884   41.7320    4.2214   -4.3923  -33.6889  1.3316 
256.00   33.9324   49.1479    0.8676  -10.1442  -24.1122   41.6084    4.2166   -4.3882  -33.7909  1.3315 
257.00   33.8228   48.9665    0.8923  -10.1207  -24.1355   41.4846    4.2117   -4.3840  -33.8925  1.3314 
258.00   33.7131   48.7853    0.9171  -10.0970  -24.1582   41.3604    4.2067   -4.3796  -33.9935  1.3313 
259.00   33.6033   48.6044    0.9417  -10.0731  -24.1803   41.2360    4.2016   -4.3751  -34.0941  1.3311 
260.00   33.4933   48.4237    0.9663  -10.0490  -24.2019   41.1113    4.1964   -4.3705  -34.1942  1.3309 
261.00   33.3833   48.2432    0.9909  -10.0248  -24.2228   40.9863    4.1910   -4.3658  -34.2937  1.3306 
262.00   33.2731   48.0630    1.0155  -10.0003  -24.2431   40.8610    4.1856   -4.3609  -34.3927  1.3303 
263.00   33.1629   47.8830    1.0400   -9.9756  -24.2629   40.7355    4.1800   -4.3560  -34.4913  1.3299 
264.00   33.0525   47.7033    1.0644   -9.9508  -24.2820   40.6097    4.1743   -4.3508  -34.5893  1.3295 
265.00   32.9421   47.5238    1.0888   -9.9257  -24.3006   40.4836    4.1684   -4.3456  -34.6867  1.3291 
266.00   32.8315   47.3445    1.1132   -9.9005  -24.3185   40.3573    4.1625   -4.3402  -34.7837  1.3286 
267.00   32.7209   47.1655    1.1375   -9.8751  -24.3358   40.2307    4.1565   -4.3348  -34.8800  1.3281 
268.00   32.6101   46.9867    1.1618   -9.8495  -24.3525   40.1038    4.1503   -4.3291  -34.9759  1.3275 
269.00   32.4993   46.8081    1.1860   -9.8237  -24.3686   39.9768    4.1440   -4.3234  -35.0712  1.3269 
270.00   32.3884   46.6297    1.2102   -9.7977  -24.3841   39.8495    4.1377   -4.3176  -35.1659  1.3262 
271.00   32.2773   46.4516    1.2343   -9.7716  -24.3989   39.7219    4.1312   -4.3116  -35.2601  1.3256 
272.00   32.1662   46.2737    1.2584   -9.7452  -24.4131   39.5941    4.1246   -4.3055  -35.3536  1.3248 
273.00   32.0550   46.0961    1.2824   -9.7187  -24.4267   39.4661    4.1179   -4.2993  -35.4467  1.3241 
274.00   31.9437   45.9186    1.3064   -9.6920  -24.4396   39.3379    4.1110   -4.2930  -35.5391  1.3233 
275.00   31.8324   45.7414    1.3304   -9.6652  -24.4520   39.2095    4.1041   -4.2865  -35.6309  1.3224 
276.00   31.7209   45.5644    1.3543   -9.6381  -24.4636   39.0808    4.0971   -4.2799  -35.7222  1.3215 
277.00   31.6094   45.3876    1.3781   -9.6109  -24.4746   38.9520    4.0900   -4.2732  -35.8128  1.3206 
278.00   31.4978   45.2111    1.4019   -9.5835  -24.4850   38.8229    4.0827   -4.2664  -35.9029  1.3197 
279.00   31.3861   45.0347    1.4256   -9.5560  -24.4947   38.6936    4.0754   -4.2595  -35.9923  1.3186 
280.00   31.2743   44.8586    1.4493   -9.5282  -24.5038   38.5642    4.0679   -4.2525  -36.0811  1.3176 
281.00   31.1625   44.6827    1.4729   -9.5003  -24.5122   38.4345    4.0604   -4.2454  -36.1693  1.3165 
282.00   31.0506   44.5070    1.4965   -9.4722  -24.5199   38.3046    4.0527   -4.2381  -36.2568  1.3154 
283.00   30.9386   44.3315    1.5200   -9.4440  -24.5270   38.1746    4.0450   -4.2307  -36.3437  1.3143 
284.00   30.8266   44.1562    1.5435   -9.4156  -24.5334   38.0444    4.0371   -4.2232  -36.4300  1.3131 
285.00   30.7145   43.9812    1.5669   -9.3870  -24.5392   37.9140    4.0291   -4.2156  -36.5156  1.3118 
286.00   30.6023   43.8064    1.5903   -9.3583  -24.5442   37.7834    4.0211   -4.2079  -36.6005  1.3106 
287.00   30.4901   43.6317    1.6136   -9.3294  -24.5486   37.6527    4.0129   -4.2001  -36.6848  1.3093 
288.00   30.3778   43.4573    1.6369   -9.3003  -24.5523   37.5218    4.0047   -4.1922  -36.7684  1.3079 
289.00   30.2655   43.2831    1.6601   -9.2711  -24.5553   37.3908    3.9963   -4.1841  -36.8513  1.3065 
290.00   30.1531   43.1091    1.6832   -9.2417  -24.5576   37.2595    3.9879   -4.1760  -36.9336  1.3051 
291.00   30.0407   42.9353    1.7063   -9.2122  -24.5593   37.1282    3.9794   -4.1677  -37.0151  1.3036 
292.00   29.9282   42.7617    1.7293   -9.1825  -24.5602   36.9966    3.9707   -4.1594  -37.0959  1.3022 
293.00   29.8156   42.5884    1.7523   -9.1526  -24.5604   36.8650    3.9620   -4.1509  -37.1760  1.3006 
294.00   29.7030   42.4152    1.7752   -9.1226  -24.5600   36.7332    3.9532   -4.1423  -37.2554  1.2991 
295.00   29.5904   42.2423    1.7981   -9.0925  -24.5588   36.6012    3.9443   -4.1337  -37.3341  1.2975 
296.00   29.4777   42.0695    1.8209   -9.0622  -24.5570   36.4692    3.9353   -4.1249  -37.4120  1.2958 
297.00   29.3650   41.8970    1.8436   -9.0317  -24.5544   36.3369    3.9262   -4.1160  -37.4892  1.2941 
298.00   29.2523   41.7246    1.8663   -9.0011  -24.5511   36.2046    3.9170   -4.1070  -37.5657  1.2924 
299.00   29.1395   41.5525    1.8889   -8.9704  -24.5471   36.0721    3.9077   -4.0979  -37.6414  1.2907 
300.00   29.0267   41.3806    1.9114   -8.9395  -24.5423   35.9396    3.8983   -4.0887  -37.7163  1.2889 
301.00   28.9138   41.2089    1.9339   -8.9085  -24.5369   35.8069    3.8889   -4.0794  -37.7905  1.2871 
302.00   28.8009   41.0373    1.9563   -8.8773  -24.5307   35.6740    3.8794   -4.0700  -37.8639  1.2853 
303.00   28.6880   40.8660    1.9787   -8.8460  -24.5238   35.5411    3.8697   -4.0605  -37.9365  1.2834 
304.00   28.5751   40.6949    2.0010   -8.8145  -24.5162   35.4081    3.8600   -4.0510  -38.0083  1.2814 
305.00   28.4621   40.5240    2.0232   -8.7829  -24.5078   35.2750    3.8502   -4.0413  -38.0792  1.2795 
306.00   28.3491   40.3534    2.0454   -8.7512  -24.4987   35.1418    3.8404   -4.0315  -38.1494  1.2775 
307.00   28.2361   40.1829    2.0675   -8.7193  -24.4889   35.0084    3.8304   -4.0216  -38.2188  1.2755 
308.00   28.1231   40.0126    2.0896   -8.6874  -24.4783   34.8750    3.8204   -4.0116  -38.2873  1.2734 
309.00   28.0100   39.8425    2.1115   -8.6552  -24.4669   34.7415    3.8102   -4.0016  -38.3550  1.2713 
310.00   27.8970   39.6726    2.1334   -8.6230  -24.4549   34.6079    3.8000   -3.9914  -38.4219  1.2692 
311.00   27.7839   39.5030    2.1553   -8.5906  -24.4420   34.4743    3.7897   -3.9812  -38.4879  1.2671 
312.00   27.6708   39.3335    2.1770   -8.5581  -24.4285   34.3405    3.7794   -3.9708  -38.5530  1.2649 
313.00   27.5578   39.1642    2.1987   -8.5255  -24.4141   34.2067    3.7689   -3.9604  -38.6173  1.2627 
314.00   27.4447   38.9952    2.2204   -8.4927  -24.3990   34.0728    3.7584   -3.9499  -38.6806  1.2604 
315.00   27.3316   38.8263    2.2419   -8.4599  -24.3832   33.9389    3.7478   -3.9392  -38.7431  1.2581 
316.00   27.2185   38.6577    2.2634   -8.4269  -24.3666   33.8049    3.7372   -3.9285  -38.8047  1.2558 
317.00   27.1054   38.4893    2.2848   -8.3938  -24.3492   33.6708    3.7264   -3.9177  -38.8654  1.2535 
318.00   26.9923   38.3210    2.3062   -8.3606  -24.3311   33.5366    3.7156   -3.9069  -38.9252  1.2511 
319.00   26.8792   38.1530    2.3275   -8.3272  -24.3122   33.4025    3.7047   -3.8959  -38.9841  1.2487 
320.00   26.7661   37.9852    2.3486   -8.2938  -24.2925   33.2682    3.6937   -3.8848  -39.0420  1.2462 
321.00   26.6531   37.8176    2.3698   -8.2602  -24.2720   33.1339    3.6827   -3.8737  -39.0990  1.2438 
322.00   26.5400   37.6502    2.3908   -8.2266  -24.2508   32.9996    3.6716   -3.8625  -39.1550  1.2412 
323.00   26.4270   37.4830    2.4118   -8.1928  -24.2288   32.8652    3.6604   -3.8512  -39.2100  1.2387 
324.00   26.3139   37.3160    2.4327   -8.1589  -24.2061   32.7308    3.6492   -3.8398  -39.2641  1.2361 
325.00   26.2009   37.1492    2.4535   -8.1249  -24.1825   32.5964    3.6378   -3.8283  -39.3172  1.2335 
326.00   26.0880   36.9827    2.4742   -8.0908  -24.1582   32.4619    3.6265   -3.8168  -39.3694  1.2309 
327.00   25.9750   36.8163    2.4949   -8.0567  -24.1330   32.3274    3.6150   -3.8052  -39.4205  1.2283 
328.00   25.8620   36.6501    2.5155   -8.0224  -24.1071   32.1929    3.6035   -3.7935  -39.4706  1.2256 
329.00   25.7491   36.4842    2.5360   -7.9880  -24.0804   32.0584    3.5919   -3.7817  -39.5197  1.2229 
330.00   25.6362   36.3185    2.5564   -7.9535  -24.0530   31.9238    3.5802   -3.7698  -39.5678  1.2201 
331.00   25.5234   36.1529    2.5768   -7.9190  -24.0247   31.7893    3.5685   -3.7579  -39.6148  1.2173 
332.00   25.4106   35.9876    2.5970   -7.8843  -23.9956   31.6547    3.5568   -3.7459  -39.6608  1.2145 
333.00   25.2978   35.8225    2.6172   -7.8496  -23.9658   31.5201    3.5449   -3.7338  -39.7057  1.2117 
334.00   25.1850   35.6577    2.6373   -7.8148  -23.9352   31.3855    3.5330   -3.7216  -39.7496  1.2089 
335.00   25.0723   35.4930    2.6573   -7.7799  -23.9037   31.2509    3.5211   -3.7094  -39.7924  1.2060 
336.00   24.9596   35.3285    2.6772   -7.7449  -23.8715   31.1163    3.5090   -3.6971  -39.8341  1.2031 
337.00   24.8470   35.1643    2.6970   -7.7098  -23.8385   30.9817    3.4970   -3.6847  -39.8747  1.2001 
338.00   24.7344   35.0003    2.7168   -7.6746  -23.8047   30.8472    3.4848   -3.6723  -39.9142  1.1971 
339.00   24.6219   34.8365    2.7364   -7.6394  -23.7700   30.7126    3.4726   -3.6598  -39.9526  1.1941 
340.00   24.5094   34.6729    2.7560   -7.6041  -23.7346   30.5781    3.4604   -3.6472  -39.9898  1.1911 
341.00   24.3970   34.5095    2.7755   -7.5687  -23.6984   30.4435    3.4481   -3.6346  -40.0259  1.1881 
342.00   24.2846   34.3464    2.7949   -7.5333  -23.6614   30.3090    3.4357   -3.6218  -40.0609  1.1850 
343.00   24.1723   34.1834    2.8142   -7.4978  -23.6236   30.1745    3.4233   -3.6091  -40.0947  1.1819 
344.00   24.0601   34.0207    2.8333   -7.4622  -23.5850   30.0401    3.4108   -3.5962  -40.1273  1.1788 
345.00   23.9479   33.8582    2.8525   -7.4265  -23.5456   29.9056    3.3983   -3.5833  -40.1588  1.1756 
346.00   23.8357   33.6960    2.8715   -7.3908  -23.5054   29.7713    3.3857   -3.5703  -40.1890  1.1724 
347.00   23.7237   33.5339    2.8904   -7.3551  -23.4644   29.6369    3.3731   -3.5573  -40.2181  1.1692 
348.00   23.6117   33.3721    2.9092   -7.3192  -23.4226   29.5026    3.3604   -3.5442  -40.2459  1.1660 
349.00   23.4998   33.2105    2.9279   -7.2833  -23.3800   29.3683    3.3477   -3.5310  -40.2726  1.1627 
350.00   23.3879   33.0492    2.9465   -7.2474  -23.3366   29.2341    3.3349   -3.5178  -40.2980  1.1594 
