# Tlab    np 1S0    np 3S1     np E1    np 1P1    np 3P1    np 3P0    np 3P2     np E2    np 3D1  np 3F2 
 52.00   51.5775  -76.8185    3.5014   -8.9448   -9.7557   39.5425    1.7140   -1.8556   -6.6880  0.3437 
 53.00   51.5317  -77.3475    3.5052   -9.0114   -9.8853   40.0134    1.7484   -1.8898   -6.8458  0.3531 
 54.00   51.4849  -77.8684    3.5080   -9.0763  -10.0136   40.4709    1.7827   -1.9236   -7.0034  0.3625 
 55.00   51.4371  -78.3814    3.5099   -9.1395  -10.1407   40.9153    1.8166   -1.9572   -7.1609  0.3718 
 56.00   51.3884  -78.8868    3.5110   -9.2011  -10.2665   41.3468    1.8503   -1.9904   -7.3182  0.3812 
 57.00   51.3388  -79.3848    3.5112   -9.2612  -10.3912   41.7657    1.8838   -2.0233   -7.4753  0.3905 
 58.00   51.2884  -79.8757    3.5106   -9.3197  -10.5147   42.1723    1.9170   -2.0559   -7.6322  0.3999 
 59.00   51.2371  -80.3596    3.5092   -9.3768  -10.6370   42.5669    1.9499   -2.0882   -7.7890  0.4092 
 60.00   51.1850  -80.8368    3.5070   -9.4325  -10.7582   42.9497    1.9826   -2.1202   -7.9455  0.4185 
 61.00   51.1322  -81.3076    3.5041   -9.4869  -10.8784   43.3210    2.0150   -2.1519   -8.1018  0.4277 
 62.00   51.0786  -81.7719    3.5005   -9.5399  -10.9975   43.6810    2.0472   -2.1834   -8.2579  0.4370 
 63.00   51.0242  -82.2302    3.4962   -9.5916  -11.1156   44.0300    2.0791   -2.2145   -8.4137  0.4462 
 64.00   50.9692  -82.6825    3.4913   -9.6421  -11.2327   44.3684    2.1107   -2.2453   -8.5693  0.4554 
 65.00   50.9135  -83.1289    3.4857   -9.6913  -11.3488   44.6962    2.1421   -2.2759   -8.7247  0.4645 
 66.00   50.8571  -83.5698    3.4796   -9.7394  -11.4639   45.0139    2.1732   -2.3061   -8.8798  0.4736 
 67.00   50.8000  -84.0051    3.4728   -9.7864  -11.5781   45.3216    2.2041   -2.3361   -9.0347  0.4827 
 68.00   50.7424  -84.4352    3.4654   -9.8322  -11.6914   45.6195    2.2347   -2.3658   -9.1893  0.4918 
 69.00   50.6841  -84.8600    3.4575   -9.8769  -11.8037   45.9080    2.2650   -2.3952   -9.3437  0.5008 
 70.00   50.6252  -85.2799    3.4490   -9.9206  -11.9152   46.1872    2.2951   -2.4243   -9.4978  0.5098 
 71.00   50.5657  -85.6948    3.4401   -9.9633  -12.0259   46.4574    2.3249   -2.4532   -9.6517  0.5188 
 72.00   50.5057  -86.1049    3.4306  -10.0049  -12.1357   46.7188    2.3545   -2.4818   -9.8053  0.5277 
 73.00   50.4451  -86.5104    3.4206  -10.0456  -12.2446   46.9716    2.3838   -2.5101   -9.9586  0.5366 
 74.00   50.3839  -86.9113    3.4101  -10.0853  -12.3528   47.2161    2.4128   -2.5381  -10.1117  0.5455 
 75.00   50.3222  -87.3078    3.3992  -10.1242  -12.4602   47.4524    2.4415   -2.5659  -10.2645  0.5543 
 76.00   50.2600  -87.7000    3.3878  -10.1621  -12.5668   47.6807    2.4701   -2.5934  -10.4171  0.5631 
