1	0.00015479	-0.00149	1.10389
2	0.000309475	-0.00075	1.41263
3	0.000463951	-0.0005	1.9279
4	0.000618113	-0.00037	2.67058
5	0.000771857	-0.00029	3.66158
6	0.000925079	-0.00024	4.8545
7	0.00107768	-0.0002	6.38839
8	0.00122955	-0.00018	7.83082
9	0.00138059	-0.00015	10.2039
10	0.0015307	-0.00014	11.9336
11	0.00167978	-0.00012	14.9982
12	0.00182774	-0.00011	17.6158
13	0.00197447	-0.0001	20.7447
14	0.00211988	-9e-05	24.5542
15	0.00226387	-8e-05	29.2984
16	0.00240635	-7e-05	35.3764
17	0.00254723	-6e-05	43.4538
18	0.00268642	-5e-05	54.7284
19	0.00282383	-4e-05	71.5957
20	0.00295937	-4e-05	74.9843
21	0.00309296	-3e-05	104.099
22	0.00322452	-2e-05	162.226
23	0.00335397	-2e-05	168.698
24	0.00348122	-1e-05	349.122
25	0.00360621	-0	0
26	0.00372886	0	0
27	0.00384909	1e-05	383.909
28	0.00396684	2e-05	197.342
29	0.00408204	2e-05	203.102
30	0.00419464	3e-05	138.821
31	0.00430455	4e-05	106.614
32	0.00441174	5e-05	87.2348
33	0.00451614	5e-05	89.3228
34	0.0046177	6e-05	75.9617
35	0.00471637	7e-05	66.3767
36	0.00481209	8e-05	59.1512
37	0.00490484	9e-05	53.4982
38	0.00499456	0.0001	48.9456
39	0.00508121	0.00011	45.1928
40	0.00516476	0.00012	42.0397
41	0.00524518	0.00013	39.3475
42	0.00532243	0.00014	37.0173
43	0.00539648	0.00015	34.9765
44	0.00546732	0.00016	33.1707
45	0.00553492	0.00017	31.5583
46	0.00559925	0.00018	30.107
47	0.00566031	0.00019	28.7911
48	0.00571809	0.0002	27.5904
49	0.00577256	0.00021	26.4884
50	0.00582373	0.00023	24.3205
51	0.00587158	0.00024	23.4649
52	0.00591612	0.00025	22.6645
53	0.00595735	0.00026	21.9129
54	0.00599527	0.00028	20.4117
55	0.00602988	0.00029	19.7927
56	0.00606121	0.0003	19.204
57	0.00608925	0.00031	18.6427
58	0.00611402	0.00033	17.5273
59	0.00613554	0.00034	17.0457
60	0.00615383	0.00035	16.5824
61	0.00616891	0.00037	15.6727
62	0.00618081	0.00038	15.2653
63	0.00618954	0.00039	14.8706
64	0.00619515	0.00041	14.1101
65	0.00619767	0.00042	13.7563
66	0.00619712	0.00043	13.4119
67	0.00619354	0.00044	13.0762
