   th_cm th3_lab th4_lab       theory     +- error    reference     +- error         DChi
   77.00   38.28   51.31 -0.11888       0.0000       0.0000       0.0000       0.0000
   78.00   38.78   50.81 -0.11934       0.0000       0.0000       0.0000       0.0000
   79.00   39.28   50.31 -0.11977       0.0000       0.0000       0.0000       0.0000
   80.00   39.78   49.81 -0.12016       0.0000       0.0000       0.0000       0.0000
   81.00   40.28   49.31 -0.12051       0.0000       0.0000       0.0000       0.0000
   82.00   40.77   48.81 -0.12082       0.0000       0.0000       0.0000       0.0000
   83.00   41.27   48.31 -0.12110       0.0000       0.0000       0.0000       0.0000
   84.00   41.77   47.81 -0.12134       0.0000       0.0000       0.0000       0.0000
   85.00   42.27   47.31 -0.12154       0.0000       0.0000       0.0000       0.0000
   86.00   42.77   46.81 -0.12170       0.0000       0.0000       0.0000       0.0000
   87.00   43.27   46.31 -0.12182       0.0000       0.0000       0.0000       0.0000
   88.00   43.77   45.81 -0.12191       0.0000       0.0000       0.0000       0.0000
   89.00   44.27   45.31 -0.12195       0.0000       0.0000       0.0000       0.0000
   90.00   44.77   44.81 -0.12196       0.0000       0.0000       0.0000       0.0000
   91.00   45.27   44.31 -0.12194       0.0000       0.0000       0.0000       0.0000
   92.00   45.77   43.81 -0.12187       0.0000       0.0000       0.0000       0.0000
   93.00   46.27   43.32 -0.12177       0.0000       0.0000       0.0000       0.0000
   94.00   46.77   42.82 -0.12163       0.0000       0.0000       0.0000       0.0000
   95.00   47.27   42.32 -0.12145       0.0000       0.0000       0.0000       0.0000
   96.00   47.77   41.82 -0.12123       0.0000       0.0000       0.0000       0.0000
   97.00   48.27   41.32 -0.12098       0.0000       0.0000       0.0000       0.0000
   98.00   48.77   40.82 -0.12069       0.0000       0.0000       0.0000       0.0000
   99.00   49.28   40.32 -0.12037       0.0000       0.0000       0.0000       0.0000
  100.00   49.78   39.82 -0.12001       0.0000       0.0000       0.0000       0.0000
  101.00   50.28   39.33 -0.11961       0.0000       0.0000       0.0000       0.0000
  102.00   50.78   38.83 -0.11918       0.0000       0.0000       0.0000       0.0000
  103.00   51.28   38.33 -0.11871       0.0000       0.0000       0.0000       0.0000
  104.00   51.78   37.83 -0.11820       0.0000       0.0000       0.0000       0.0000
  105.00   52.28   37.33 -0.11767       0.0000       0.0000       0.0000       0.0000
  106.00   52.78   36.83 -0.11709       0.0000       0.0000       0.0000       0.0000
  107.00   53.28   36.34 -0.11648       0.0000       0.0000       0.0000       0.0000
  108.00   53.78   35.84 -0.11584       0.0000       0.0000       0.0000       0.0000
  109.00   54.28   35.34 -0.11516       0.0000       0.0000       0.0000       0.0000
  110.00   54.79   34.84 -0.11445       0.0000       0.0000       0.0000       0.0000
  111.00   55.29   34.35 -0.11370       0.0000       0.0000       0.0000       0.0000
  112.00   55.79   33.85 -0.11292       0.0000       0.0000       0.0000       0.0000
  113.00   56.29   33.35 -0.11211       0.0000       0.0000       0.0000       0.0000
  114.00   56.79   32.85 -0.11127       0.0000       0.0000       0.0000       0.0000
  115.00   57.29   32.36 -0.11039       0.0000       0.0000       0.0000       0.0000
  116.00   57.79   31.86 -0.10948       0.0000       0.0000       0.0000       0.0000
  117.00   58.30   31.36 -0.10853       0.0000       0.0000       0.0000       0.0000
  118.00   58.80   30.87 -0.10755       0.0000       0.0000       0.0000       0.0000
  119.00   59.30   30.37 -0.10655       0.0000       0.0000       0.0000       0.0000
  120.00   59.80   29.87 -0.10550       0.0000       0.0000       0.0000       0.0000
  121.00   60.30   29.38 -0.10443       0.0000       0.0000       0.0000       0.0000
  122.00   60.81   28.88 -0.10333       0.0000       0.0000       0.0000       0.0000
  123.00   61.31   28.38 -0.10219       0.0000       0.0000       0.0000       0.0000
  124.00   61.81   27.89 -0.10102       0.0000       0.0000       0.0000       0.0000
  125.00   62.31   27.39 -0.99824E-01   0.0000       0.0000       0.0000       0.0000
  126.00   62.81   26.89 -0.98595E-01   0.0000       0.0000       0.0000       0.0000
  127.00   63.32   26.40 -0.97334E-01   0.0000       0.0000       0.0000       0.0000
  128.00   63.82   25.90 -0.96043E-01   0.0000       0.0000       0.0000       0.0000
  129.00   64.32   25.41 -0.94721E-01   0.0000       0.0000       0.0000       0.0000
  130.00   64.82   24.91 -0.93369E-01   0.0000       0.0000       0.0000       0.0000
  131.00   65.33   24.42 -0.91987E-01   0.0000       0.0000       0.0000       0.0000
  132.00   65.83   23.92 -0.90575E-01   0.0000       0.0000       0.0000       0.0000
  133.00   66.33   23.42 -0.89134E-01   0.0000       0.0000       0.0000       0.0000
  134.00   66.83   22.93 -0.87663E-01   0.0000       0.0000       0.0000       0.0000
  135.00   67.34   22.43 -0.86164E-01   0.0000       0.0000       0.0000       0.0000
  136.00   67.84   21.94 -0.84636E-01   0.0000       0.0000       0.0000       0.0000
  137.00   68.34   21.45 -0.83080E-01   0.0000       0.0000       0.0000       0.0000
  138.00   68.85   20.95 -0.81496E-01   0.0000       0.0000       0.0000       0.0000
  139.00   69.35   20.46 -0.79884E-01   0.0000       0.0000       0.0000       0.0000
  140.00   69.85   19.96 -0.78246E-01   0.0000       0.0000       0.0000       0.0000
  141.00   70.35   19.47 -0.76581E-01   0.0000       0.0000       0.0000       0.0000
  142.00   70.86   18.97 -0.74891E-01   0.0000       0.0000       0.0000       0.0000
  143.00   71.36   18.48 -0.73175E-01   0.0000       0.0000       0.0000       0.0000
  144.00   71.86   17.99 -0.71435E-01   0.0000       0.0000       0.0000       0.0000
  145.00   72.37   17.49 -0.69672E-01   0.0000       0.0000       0.0000       0.0000
  146.00   72.87   17.00 -0.67885E-01   0.0000       0.0000       0.0000       0.0000
  147.00   73.37   16.51 -0.66076E-01   0.0000       0.0000       0.0000       0.0000
  148.00   73.88   16.02 -0.64246E-01   0.0000       0.0000       0.0000       0.0000
  149.00   74.38   15.52 -0.62395E-01   0.0000       0.0000       0.0000       0.0000
  150.00   74.88   15.03 -0.60524E-01   0.0000       0.0000       0.0000       0.0000
  151.00   75.39   14.54 -0.58635E-01   0.0000       0.0000       0.0000       0.0000
  152.00   75.89   14.05 -0.56729E-01   0.0000       0.0000       0.0000       0.0000
  153.00   76.39   13.56 -0.54806E-01   0.0000       0.0000       0.0000       0.0000
  154.00   76.90   13.07 -0.52867E-01   0.0000       0.0000       0.0000       0.0000
  155.00   77.40   12.58 -0.50914E-01   0.0000       0.0000       0.0000       0.0000
  156.00   77.90   12.09 -0.48947E-01   0.0000       0.0000       0.0000       0.0000
  157.00   78.41   11.60 -0.46968E-01   0.0000       0.0000       0.0000       0.0000
  158.00   78.91   11.11 -0.44978E-01   0.0000       0.0000       0.0000       0.0000
  159.00   79.41   10.63 -0.42978E-01   0.0000       0.0000       0.0000       0.0000
  160.00   79.92   10.14 -0.40968E-01   0.0000       0.0000       0.0000       0.0000
  161.00   80.42    9.66 -0.38951E-01   0.0000       0.0000       0.0000       0.0000
