153	8.17922	8.179	2.72507e-05
154	8.33802	8.338	2.02776e-06
155	8.50497	8.5052	2.74662e-05
156	8.68064	8.6811	5.261e-05
157	8.86555	8.8663	8.48037e-05
158	9.06008	9.0611	0.000112851
159	9.26449	9.2657	0.000130861
160	9.47885	9.4801	0.00013139
161	9.70303	9.7041	0.000109925
162	9.93662	9.9373	6.87244e-05
163	10.1789	10.179	1.00013e-05
164	10.4288	10.428	8.00819e-05
165	10.685	10.684	9.60748e-05
166	10.9457	10.943	0.000246374
167	11.2087	11.205	0.000329367
168	11.4715	11.467	0.000391778
169	11.7313	11.726	0.000447745
170	11.9848	11.979	0.000486285
171	12.2289	12.223	0.000479139
172	12.4598	12.453	0.000549398
173	12.6742	12.668	0.000491848
174	12.8685	12.862	0.000507761
175	13.0394	13.034	0.000415541
176	13.1838	13.179	0.000367185
177	13.2991	13.295	0.000311129
178	13.3831	13.379	0.000308359
179	13.4342	13.43	0.000311638
180	13.4513	13.448	0.000246696
