# Tlab    np 1S0    np 3S1     np E1    np 1P1    np 3P1    np 3P0    np 3P2     np E2    np 3D1  np 3F2 
   54      51.0604     -77.9572      3.53226     -9.13535     -10.0768      40.9817      1.80136     -1.93909      -7.0582     0.365388
   55      51.0145     -78.4711      3.53409     -9.19894     -10.2046      41.4274      1.83563     -1.97287     -7.21684     0.374819
   56      50.9676     -78.9774      3.53505     -9.26093     -10.3312        41.86      1.86966     -2.00634     -7.37529     0.384238
   57      50.9198     -79.4763      3.53516     -9.32135     -10.4566      42.2798      1.90342      -2.0395     -7.53356     0.393641
   58      50.8711      -79.968      3.53446     -9.38026     -10.5807      42.6871      1.93693     -2.07235     -7.69164     0.403027
   59      50.8215     -80.4528      3.53296     -9.43771     -10.7038      43.0821      1.97018     -2.10489     -7.84951     0.412394
   60      50.7712     -80.9309       3.5307     -9.49374     -10.8257      43.4652      2.00316     -2.13713     -8.00716     0.421739
   61        50.72     -81.4024      3.52771      -9.5484     -10.9466      43.8365      2.03588     -2.16907     -8.16459     0.431062
   62      50.6681     -81.8676        3.524     -9.60173     -11.0664      44.1964      2.06834     -2.20072      -8.3218      0.44036
   63      50.6154     -82.3267      3.51961     -9.65376     -11.1851      44.5452      2.10054     -2.23206     -8.47878     0.449633
   64       50.562     -82.7797      3.51455     -9.70453     -11.3029      44.8832      2.13247     -2.26311     -8.63552     0.458877
   65      50.5079      -83.227      3.50886     -9.75408     -11.4196      45.2105      2.16413     -2.29387     -8.79201     0.468093
   66      50.4531     -83.6686      3.50254     -9.80245     -11.5354      45.5274      2.19553     -2.32434     -8.94827     0.477278
   67      50.3977     -84.1047      3.49562     -9.84967     -11.6503      45.8343      2.22667     -2.35453     -9.10427     0.486432
   68      50.3416     -84.5355      3.48813     -9.89576     -11.7642      46.1313      2.25754     -2.38443     -9.26002     0.495553
   69      50.2848     -84.9611      3.48007     -9.94076     -11.8772      46.4187      2.28814     -2.41405     -9.41551      0.50464
   70      50.2275     -85.3817      3.47146      -9.9847     -11.9894      46.6968      2.31848     -2.44339     -9.57075     0.513692
   71      50.1695     -85.7973      3.46233     -10.0276     -12.1007      46.9657      2.34855     -2.47245     -9.72572     0.522708
   72       50.111     -86.2081      3.45268     -10.0695     -12.2111      47.2258      2.37835     -2.50124     -9.88043     0.531687
   73      50.0518     -86.6143      3.44254     -10.1104     -12.3207      47.4772      2.40789     -2.52975     -10.0349     0.540629
   74      49.9922     -87.0159      3.43192     -10.1504     -12.4295      47.7201      2.43717     -2.55799     -10.1891     0.549531
   75      49.9319     -87.4131      3.42084     -10.1894     -12.5375      47.9548      2.46618     -2.58597      -10.343     0.558395
   76      49.8711     -87.8059       3.4093     -10.2276     -12.6447      48.1815      2.49493     -2.61368     -10.4966     0.567217
   77      49.8098     -88.1946      3.39732     -10.2648     -12.7511      48.4003      2.52342     -2.64113       -10.65     0.575999
   78       49.748     -88.5791      3.38492     -10.3012     -12.8568      48.6116      2.55164     -2.66831     -10.8031     0.584739
   79      49.6857     -88.9596      3.37211     -10.3367     -12.9618      48.8154       2.5796     -2.69524      -10.956     0.593437
   80      49.6228     -89.3362       3.3589     -10.3715      -13.066       49.012       2.6073     -2.72191     -11.1086     0.602092
   81      49.5595      -89.709      3.34529     -10.4054     -13.1696      49.2015      2.63474     -2.74832     -11.2609     0.610703
   82      49.4957      89.9219     -3.33131     -10.4385     -13.2724      49.3841      2.66192     -2.77449     -11.4129     0.619269
   83      49.4314      89.5564     -3.31696     -10.4708     -13.3745      49.5601      2.68885     -2.80039     -11.5647     0.627792
   84      49.3666      89.1946     -3.30226     -10.5024      -13.476      49.7295      2.71551     -2.82606     -11.7162     0.636269
   85      49.3014      88.8362     -3.28721     -10.5333     -13.5768      49.8925      2.74192     -2.85147     -11.8674       0.6447
   86      49.2357      88.4811     -3.27182     -10.5635      -13.677      50.0494      2.76807     -2.87664     -12.0184     0.653085
   87      49.1696      88.1294      -3.2561     -10.5929     -13.7765      50.2002      2.79396     -2.90156     -12.1691     0.661424
   88       49.103       87.781     -3.24007     -10.6217     -13.8754       50.345      2.81961     -2.92625     -12.3195     0.669715
   89       49.036      87.4357     -3.22372     -10.6497     -13.9737      50.4842      2.84499     -2.95069     -12.4697     0.677959
   90      48.9686      87.0935     -3.20708     -10.6772     -14.0713      50.6177      2.87013     -2.97489     -12.6196     0.686156
   91      48.9007      86.7543     -3.19014     -10.7039     -14.1684      50.7457      2.89501     -2.99886     -12.7692     0.694304
   92      48.8324      86.4181     -3.17292     -10.7301     -14.2649      50.8684      2.91965      -3.0226     -12.9186     0.702404
   93      48.7637      86.0848     -3.15542     -10.7556     -14.3608      50.9859      2.94403      -3.0461     -13.0677     0.710456
   94      48.6946      85.7543     -3.13766     -10.7805     -14.4561      51.0983      2.96817     -3.06937     -13.2166     0.718458
